layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q3_ideal_logical_256_byte_plane_ceiling,1316,201.681640625,131.0224609375,257.7490234375,148.544921875,288.25,1315.498046875
q3_ideal_logical_256_byte_plane_ceiling,1320,202.400390625,131.51171875,258.39453125,149.1943359375,288.9375,1319.3759765625
q3_ideal_logical_256_byte_plane_ceiling,1324,202.9853515625,131.9814453125,259.0390625,149.740234375,289.849609375,1323.4453125
q3_ideal_logical_256_byte_plane_ceiling,1328,203.50390625,132.6669921875,259.66015625,150.5380859375,290.58203125,1327.533203125
q3_ideal_logical_256_byte_plane_ceiling,1332,204.046875,133.2724609375,260.3095703125,151.3701171875,291.1796875,1331.3583984375
q3_ideal_logical_256_byte_plane_ceiling,1336,204.8271484375,133.8046875,260.931640625,151.9306640625,292.0166015625,1335.52734375
q3_ideal_logical_256_byte_plane_ceiling,1340,205.3134765625,134.2041015625,261.6484375,152.564453125,292.8935546875,1339.517578125
q3_ideal_logical_256_byte_plane_ceiling,1344,205.888671875,134.86328125,262.2919921875,153.3349609375,293.541015625,1343.4609375
q3_ideal_logical_256_byte_plane_ceiling,1348,206.470703125,135.421875,263.056640625,154.0732421875,294.2275390625,1347.4775390625
q3_ideal_logical_256_byte_plane_ceiling,1352,207.0478515625,135.958984375,263.5830078125,154.8115234375,295.056640625,1351.5146484375
q3_ideal_logical_256_byte_plane_ceiling,1356,207.75390625,136.662109375,264.1962890625,155.5146484375,295.6845703125,1355.49609375
q3_ideal_logical_256_byte_plane_ceiling,1360,208.220703125,137.1259765625,264.8994140625,156.1455078125,296.5283203125,1359.4482421875
q3_ideal_logical_256_byte_plane_ceiling,1364,209.064453125,137.90234375,265.4912109375,156.8740234375,297.099609375,1363.53125
q3_ideal_logical_256_byte_plane_ceiling,1368,209.3583984375,138.375,266.015625,157.66015625,298.0107421875,1367.4306640625
q3_ideal_logical_256_byte_plane_ceiling,1372,210.109375,139.06640625,266.67578125,158.3291015625,298.599609375,1371.3798828125
q3_ideal_logical_256_byte_plane_ceiling,1376,210.62109375,139.51953125,267.4443359375,159.068359375,299.39453125,1375.4423828125
q3_ideal_logical_256_byte_plane_ceiling,1380,211.3173828125,140.2099609375,268.02734375,159.767578125,300.0771484375,1379.4765625
q3_ideal_logical_256_byte_plane_ceiling,1384,211.8349609375,140.8466796875,268.634765625,160.6337890625,300.767578125,1383.4853515625
q3_ideal_logical_256_byte_plane_ceiling,1388,212.5107421875,141.5068359375,269.3017578125,161.2880859375,301.4365234375,1387.48046875
q3_ideal_logical_256_byte_plane_ceiling,1392,213.14453125,142.1533203125,269.7587890625,162.0166015625,302.251953125,1391.5771484375
q3_ideal_logical_256_byte_plane_ceiling,1396,213.8515625,142.708984375,270.5615234375,162.7236328125,302.8173828125,1395.48046875
q3_ideal_logical_256_byte_plane_ceiling,1400,214.4091796875,143.2265625,271.21484375,163.365234375,303.625,1399.4658203125
q3_ideal_logical_256_byte_plane_ceiling,1404,215.0,143.84375,271.80859375,164.2744140625,304.2763671875,1403.4794921875
q3_ideal_logical_256_byte_plane_ceiling,1408,215.59375,144.498046875,272.470703125,164.9775390625,304.9716796875,1407.4833984375
q3_ideal_logical_256_byte_plane_ceiling,1412,216.1455078125,145.0771484375,273.1513671875,165.7431640625,305.66015625,1411.4375
q3_ideal_logical_256_byte_plane_ceiling,1416,216.8134765625,145.662109375,273.83984375,166.482421875,306.357421875,1415.5126953125
q3_ideal_logical_256_byte_plane_ceiling,1420,217.357421875,146.25390625,274.4140625,167.1064453125,307.2333984375,1419.5986328125
q3_ideal_logical_256_byte_plane_ceiling,1424,217.9990234375,146.9541015625,275.041015625,167.9169921875,307.8212890625,1423.5537109375
q3_ideal_logical_256_byte_plane_ceiling,1428,218.642578125,147.5478515625,275.7255859375,168.6220703125,308.439453125,1427.4169921875
q3_ideal_logical_256_byte_plane_ceiling,1432,219.1943359375,148.1513671875,276.359375,169.40625,309.1748046875,1431.4609375
q3_ideal_logical_256_byte_plane_ceiling,1436,219.85546875,148.8212890625,276.8701171875,170.0947265625,309.943359375,1435.5283203125
q3_ideal_logical_256_byte_plane_ceiling,1440,220.4755859375,149.419921875,277.6005859375,170.8193359375,310.5458984375,1439.4072265625
q3_ideal_logical_256_byte_plane_ceiling,1444,221.1630859375,150.0166015625,278.28515625,171.57421875,311.2783203125,1443.595703125
q3_ideal_logical_256_byte_plane_ceiling,1448,221.7119140625,150.6357421875,278.900390625,172.26953125,312.015625,1447.548828125
q3_ideal_logical_256_byte_plane_ceiling,1452,222.2578125,151.2412109375,279.650390625,173.1279296875,312.5810546875,1451.439453125
q3_ideal_logical_256_byte_plane_ceiling,1456,222.9453125,152.0078125,280.138671875,173.9931640625,313.24609375,1455.5771484375
