candidate,design,split,level,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,mean_damage,median_damage,p90_damage
A_vector_functional_shrunk,A,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_cluster_functional,B,test,2,152,-0.07458894518544414,0.3088097645416527,0.6451417057105497,0.4069849461317062,0.48527127504348755,0.5826635479927064,0.03775575272738934,5.07435857590386,0.23499122262001038,16.482340812683116
B16_g32_cluster_functional,B,test,3,152,0.6206777603959851,0.7792521484930115,0.8789602060938398,0.22609049528837205,0.27294227480888367,0.31601440012454984,0.011926912888884545,1.4605115812431138,0.08994672819972038,4.881924676895142
B16_g32_cluster_functional,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_cluster_functional,B,train,2,258,-0.036213727260505243,0.32539794128072264,0.694247376322304,0.37444061040878296,0.46360062062740326,0.5600365281105042,0.04638335406780243,5.049211042471114,0.23394472897052765,17.31358871459962
B16_g32_cluster_functional,B,train,3,258,0.6111301263424203,0.7873489388528336,0.8990085437558314,0.21007856279611586,0.2644035518169403,0.31660349667072296,0.01532462127506733,1.3725426577919617,0.08452046662569046,4.321014404296875
B16_g32_cluster_functional,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_cluster_functional,B,validation,2,135,-0.12676208920518706,0.2598518024307386,0.6356112843171106,0.4022149443626404,0.48524779081344604,0.5713234424591065,0.057852568477392195,6.295818428488241,0.21726293861865997,21.870178985595707
B16_g32_cluster_functional,B,validation,3,135,0.6040783598410614,0.7741382537019197,0.8907345512451433,0.22766967117786407,0.2780700623989105,0.32140791416168213,0.01447815652936697,1.5732002903293405,0.07590888440608978,5.518366718292238
B16_g32_cluster_functional,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_expert_functional,B,test,2,152,-0.09393249005142879,0.29713726886236475,0.6198389950196239,0.3983574390411377,0.4795950949192047,0.5613016664981842,0.03660136200487614,4.825650094027974,0.22959280014038086,17.069486999511724
B16_g32_expert_functional,B,test,3,152,0.6236286366483972,0.8094031613356645,0.9028791162854326,0.21596297025680544,0.26586031913757324,0.3174296945333481,0.011535610631108285,1.3646154991246906,0.07753279432654381,4.7588596820831315
B16_g32_expert_functional,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_expert_functional,B,train,2,258,-0.047483184451738575,0.32024172225213016,0.6567857545273126,0.36763123869895936,0.45739658176898956,0.5457970559597015,0.04756861552596093,4.931065868030396,0.2206466868519783,15.831100463867193
B16_g32_expert_functional,B,train,3,258,0.5868329836453546,0.7962846087134938,0.9080233469383931,0.20316955149173738,0.25813308358192444,0.31237814128398894,0.01583493370562792,1.3613724114089958,0.07153037190437317,4.1448205947876
